id,created_at,favorite_count,retweet_count,text
1575977826875953152,2022-09-30 22:36:08+00:00,604,85,"September 2022 was a brutal month, with stocks and bonds down, across sectors and geographies. The ERP for the S&amp;P 500 ended at 6.21%, up from 5.45%, and the https://t.co/jhPnIWMCRT rate spiked to 3.82% from 3.19%. Risk capital is in full retreat. https://t.co/wy8WGupZeI https://t.co/DOV8dEbDy0"
1574900189868961792,2022-09-27 23:14:00+00:00,1,0,"@cetello For a implied forward PE, divide the intrinsic value (3516) by earnings in 2022 (225) = 15.63"
1574533395727626240,2022-09-26 22:56:29+00:00,162,16,"You can critique the Fed for not acting sooner or for its actions over the last decade, but at the moment, they are caught between a rock (a recession-induced inflation break) and a hard place (do nothing and let inflation play out). https://t.co/ebNEMbdcFP"
1574533393890484224,2022-09-26 22:56:29+00:00,304,60,"Your views are likely to be very different from mine and to encompass those differences, here are my estimates of index value for different https://t.co/jhPnIWMCRT rates, ERP estimates and recession effects on earnings. https://t.co/ebNEMbdcFP https://t.co/mjLMDXKE6F"
1574533389352198144,2022-09-26 22:56:28+00:00,203,34,"I gave it my best shot, knowing that I will be completely wrong in hindsight, and estimated the index value to be 3516, within 5% of its traded price on September 23. https://t.co/ebNEMbdcFP https://t.co/lU6YBX6UD8"
1574533384834994176,2022-09-26 22:56:27+00:00,148,24,"The S&amp;P is down 22.5% in 2022, but to evaluate whether it is time for a contrarian buy or a save-yourself sell, there are key questions about inflation's effects that need to be answered. https://t.co/ebNEMbdcFP https://t.co/jo1zKmVT9h"
1574533379306856449,2022-09-26 22:56:25+00:00,101,14,"The price of risk in equity markets, i.e., the equity risk premium, is also up in 2022. The double whammy of higher https://t.co/jhPnIWMCRT rates and higher ERP has pushed up the expected return on stocks from 5.75% on 1/1/22 to 9.75% on 9/23. https://t.co/ebNEMbdcFP https://t.co/Yu1o9Eq6x7"
1574533373690671104,2022-09-26 22:56:24+00:00,78,6,"Retreating risk capital pushes up the price of risk in every market. In bond markets, default spreads have widened in 2022, and more so for the lowest rated bonds. https://t.co/ebNEMbdcFP https://t.co/PFYdmtWQG8"
1574533367810256897,2022-09-26 22:56:22+00:00,72,8,"As inflation has risen as a threat, the capital invested in the riskiest assets, i.e., risk capital, has retreated in 2022, as manifested in VC capital investments, IPOs and high yield debt issuances all dropping off in 2022. https://t.co/ebNEMbdcFP https://t.co/miOGpHdtJv"
1574533361661407233,2022-09-26 22:56:21+00:00,77,9,"Rising interest rates in the US are creating chaos in currency markets, as the US dollar approaches all-time highs against the Euro and the Pound, while rising strongly against other currencies as well. https://t.co/ebNEMbdcFP https://t.co/xOzMm5xf0w"
1574533356510842880,2022-09-26 22:56:20+00:00,68,4,"The first order effect of higher expected inflation is in higher interest rates, and you are seeing those higher rates across the US treasury term structure in 2022, with bigger increases in rates at the short end. https://t.co/ebNEMbdcFP https://t.co/yWW9kA4IX1"
1574533351767044096,2022-09-26 22:56:19+00:00,83,5,"The inflation implied in the US treasury market, as the difference between the https://t.co/jhPnIWMCRT rate and the TIPs rate, is also climbing, albeit at a slower rate, and with a strong term structure (short term inflation &gt; long term inflation). https://t.co/ebNEMbdcFP https://t.co/iyGxSEnH58"
1574533346637451264,2022-09-26 22:56:17+00:00,97,7,"While the inflation numbers flashed red signals as early as 2021, expectations for future inflation were slow to adjust. In 2022, you are seeing expected inflation climb in surveys, as consumers react to hits to their pocketbooks. https://t.co/ebNEMbdcFP https://t.co/mCeZQhoTJN"
1574533341407109120,2022-09-26 22:56:16+00:00,290,38,"To many investors, consumers and businesses, inflation in 2021 &amp; 2022 has been shocking, because a decade of low and stable inflation lulled them into complacency and left them unprepared. https://t.co/ebNEMbdcFP https://t.co/aGdjEBfLzC"
1574533336604692481,2022-09-26 22:56:15+00:00,1442,281,"Inflation has been the big story of 2022, driving markets and pushing central banks and policy makers to react. I update my posts from earlier this year on inflation to reflect what we learned this summer about inflation's persistence &amp; unpredictability. https://t.co/ebNEMbdcFP"
1570811205450878977,2022-09-16 16:25:50+00:00,1,0,@Boris61434332 The term in the brackets (Expected return on market minus riskfree rate) is the equity risk premium. Two ways of stating the same thing.
1566530235574562816,2022-09-04 20:54:47+00:00,1,0,@_ilchen_ It is not “despite”…. It is “because”… There will be less capital when riskfree rates and risk premiums are high.
1565110229120925696,2022-08-31 22:52:11+00:00,234,39,"I am sorry but I transposed the ERP and https://t.co/jhPnIWMCRT rate in the chart, for Sept 2021. The corrected figure is below, and you can see that in the last year, the riskfree rate rose (from 1.31% to 3.19%) and the ERP increased (from 4.21% to 5.45%). https://t.co/pSFHuyL1rk"
1565093774400770049,2022-08-31 21:46:48+00:00,334,56,"Since inflation concerns first surfaced in early 2021, investors have under estimated its potential for damage and over estimated the Fed's powers to bring it back under control. My picture from May 2022 on how this will play out in the market still holds. https://t.co/s8lVHRkN37 https://t.co/B4fgWcuEFw"
1565093771074625536,2022-08-31 21:46:47+00:00,148,10,"To see the details of the ERP calculation, and how the ERP is a composite metric that reflects investor fears &amp; hopes, check out the spreadsheet with the Sept 2022 calculation (https://t.co/ESuHmzGRup) and my website for historical perspective (https://t.co/IfY5XbzQfu)."
1565093768629325824,2022-08-31 21:46:47+00:00,155,11,"In the last few days, as cracks emerged in that consensus, with fresh concerns about how soft the landing will be and whether inflation will persist, US stocks are down again, the https://t.co/jhPnIWMCRT rate is up to 3.19% and the ERP for the S&amp;P 500 rose to 5.45% on 9/1/22. https://t.co/u8Z4x4E55Y"
1565093764946833408,2022-08-31 21:46:46+00:00,892,115,"For a market that was unsettled by inflation for much of this year, in July and for much of August, it looked like investors had reached a consensus on a soft landing for the economy &amp; a quick drop off in inflation, allowing US stocks to recover strongly."
1556693791708413953,2022-08-08 17:28:16+00:00,404,3,@arunkumar_cms Notice the misspelling of my name. That is not me. Sorry!
1553885547453911042,2022-07-31 23:29:18+00:00,689,101,"US stocks showed strength in July, with the S&amp;P 500 rising 9.1% and the https://t.co/jhPnIWvzPT rate dropping to 2.65%. With the ERP dropping from 6.01% to 5.42%, the expected return on stocks is 8.07%. Is the market finding its feet? August will tell us.  https://t.co/IfY5XbiNdu https://t.co/okKJOTOkhM"
1553718270766694401,2022-07-31 12:24:37+00:00,30,1,@BahirwaniKrish @sujitsin Not really. Both your valuation and the market are wrong. The “truth” will take far longer to play out. That is why I did not view my Zomato  valuation as vindication and my Paytm valuation as a mistake. It is still early in the game.
1553717547307937793,2022-07-31 12:21:44+00:00,7,0,"@Valuedontlie @mdbergman36 @DuttonCapital As far as I am concerned, they have always been debt. Accounting has finally come to its senses and is now acknowledging what has always been reality. So, there is less of a gap now between the debt numbers that I use and the accounting debt numbers."
1553713125915889664,2022-07-31 12:04:10+00:00,13,0,"@mdbergman36 @DuttonCapital @Valuedontlie Yes, capitalizing R&amp;D is a good idea and leases are and always have been debt. You don’t even need to break down convertible debt, since both components stay in invested capital, but don’t forget to net out cash."
1552395437872599040,2022-07-27 20:48:09+00:00,860,111,"If you did buy Zomato at its 2021 prices, and feeling regret, please don't attribute to conspiracies (with bankers, founders and analysts as villains) what can be better explained by greed &amp; myopia. You live by momentum, you die by it! https://t.co/DWz0SQyVTA"
1552395435360153600,2022-07-27 20:48:08+00:00,472,34,"If you are an investor, a week or two more like the last two will make Zomato a buy. If you are a trader, you are better off looking at price charts, consulting an astrologer or visiting your favored place of worship to get a sense of momentum shifts. https://t.co/DWz0SQyVTA https://t.co/RM3SxyTGFQ"
1552395429546840064,2022-07-27 20:48:07+00:00,279,19,"This is my valuation, not the valuation, of Zomato, and needless to say, I will be wrong on every single assumption. Rather than hide from uncertainty, I choose to face up to it. Here are my simulation results for Zomato. https://t.co/DWz0SQyVTA https://t.co/9qn9XZfQ5g"
1552395424345886720,2022-07-27 20:48:05+00:00,357,55,"Updating my valuation to reflect both company and macro news, I adjust my story to reflect a bigger potential market (with grocery deliveries), albeit with lower revenue share and margins and a higher cost of capital to value Zomato at ₹35/share. https://t.co/DWz0SQyVTA https://t.co/vyGMDBF0b1"
1552395419220467713,2022-07-27 20:48:04+00:00,170,12,"In macro changes, inflation has changed and unsettled markets around the world (pushing up risk free rates) and risk capital has gone to the side lines, pushing up equity risk premiums, increasing the costs of capital for all companies. https://t.co/DWz0SQyVTA https://t.co/TpNFTz8qtm"
1552395414501961728,2022-07-27 20:48:03+00:00,182,13,"The company has had four earnings reports, with some good news (sustained growth, a larger cash buffer), some bad (lower take rate, worsening margins) and some questionable (acquisition-driven growth, side investments). https://t.co/DWz0SQyVTA https://t.co/09ju37nZjJ"
1552395410261454848,2022-07-27 20:48:02+00:00,302,19,"Much as I would like to claim vindication for my value, I attribute the convergence to chance, since (1) I valued Paytm, currently trading at  ₹713 at  ₹2000, (2) You cannot compare a price in July 2022 to a valuation in July 2021. Much has changed! https://t.co/DWz0SQyVTA"
1552395408776646657,2022-07-27 20:48:02+00:00,253,16,"In 2022, the mood shifted, Zomato rediscovered the laws of gravity, and the stock price dropped. Zomato's acquisition of Blinkit for $568 million ( ₹4500 crores) and the lock-in expiration exacerbated selling, pushing the price down to ₹41. https://t.co/DWz0SQyVTA"
1552395405886758913,2022-07-27 20:48:01+00:00,249,20,"At  the offering, the market had a very different view on the company, as the stock soared 51% from its offering price of ₹74, and Zomato continued to trade at stratospheric levels all through 2021, held up by easy access to risk capital and momentum. https://t.co/DWz0SQyVTA https://t.co/FlP1v5jMwc"
1552395399687589888,2022-07-27 20:48:00+00:00,4954,783,"Just over a year ago, I valued Zomato, the Indian food-delivery company, at ₹41/share, ahead of its IPO, and argued that it was joint bet on Indian growth, Indian eating habits and Zomato's business model. In hindsight, I was both wrong and right. https://t.co/DWz0SQyVTA https://t.co/AThITjS2iD"
