id,created_at,favorite_count,retweet_count,text
1579471881320554497,2022-10-10 14:00:16+00:00,9,4,.@theDrybar founder Alli Webb discusses the rewards and challenges of building a business on our latest #TalksAtGS: https://t.co/SoYRf82KcF https://t.co/PSyvMwhqit
1578194211148632064,2022-10-07 01:23:16+00:00,20,8,What are the implications of the latest OPEC+ oil production cuts? Our Head of Energy Research Damien Courvalin discusses on Bloomberg TV: https://t.co/sP1FvdvQs2
1577674981282140167,2022-10-05 15:00:01+00:00,19,5,"Stephanie Cohen, Global Co-Head of Consumer and Wealth Management, discusses our commitment to building a diverse and inclusive workforce, our responsibility to the communities we serve and the strength of our business. 
 
Read more here: https://t.co/WzBCJL2o8R https://t.co/UpwHXN4iu3"
1577349689430708225,2022-10-04 17:27:26+00:00,10,2,How are the Fed’s moves supporting the dollar’s strength against global currencies? Learn more on our latest #ExchangesGS podcast: https://t.co/9toX7iPQUX https://t.co/KDh6vM3mSK
1576971449172393984,2022-10-03 16:24:26+00:00,14,4,"The correct answer is Sweden, according to our research. 

The Scandinavian country was the birthplace of Spotify and is estimated to have a remarkably high percentage of people paying for music streaming at around 58% as of 2021: https://t.co/oEJmF2iFSf"
1576971446995144712,2022-10-03 16:24:26+00:00,11,4,"Which of the below countries is estimated to have the highest % of people paying for music streaming?🎶

Take part in our quiz &amp; subscribe to our weekly newsletter for more quizzes on financial trends: https://t.co/sMzenQsYmn"
1576750382830817286,2022-10-03 01:46:00+00:00,25,9,"As real yields break into positive territory and cash becomes an attractive value proposition, what does this mean for credit investors’ asset allocation? Our chief credit strategist, Lotfi Karoui, explains on CNBC: https://t.co/0iaNeOOq0r"
1575833371372146690,2022-09-30 13:02:07+00:00,25,8,"The UK pound, already buffeted by an energy-price shock, traded at a record low this week. Our research analysts expect pressure on the currency to persist. 

Read the full discussion on the pound and the UK economy here: https://t.co/FEqQWhgjA9"
1575125483339005952,2022-09-28 14:09:14+00:00,49,15,"Music streaming is expected to grow each year through 2030, with the US projected to be among the leaders. 

Read our latest research for more on the future of the industry: https://t.co/eTGjO1FZPf https://t.co/2wdgwK1x7Z"
1574950090678181888,2022-09-28 02:32:17+00:00,15,7,"Tim Moe, our chief APAC equity strategist, shared his views on the market as it faces a troubling triad of rising interest rates, faltering growth and a strong dollar, during a CNBC interview. https://t.co/93gIYEfGio"
1574839284426838042,2022-09-27 19:11:59+00:00,13,4,.@thredUP CEO James Reinhart talks about the rise of secondhand retail and American consumer habits on our latest #ExchangesGS podcast: https://t.co/3NOC29EhGu https://t.co/ibUKAAE6Ap
1574813186095824896,2022-09-27 17:28:16+00:00,19,4,"Introducing Visual Structuring from Goldman Sachs Marquee, the new paradigm for trade idea generation. This new function within the Marquee Trader app makes pre-trade analytics easier, faster, and more seamless for our institutional clients: https://t.co/sW4D3aqxH0 https://t.co/t20SXSohNt"
1570791954165760002,2022-09-16 15:09:20+00:00,29,12,"Stephan Feldgoise, our co-head of Global M&amp;A, chats with @BloombergTV on what activity we can expect in the tech sector this year and next. https://t.co/Iw2e6Vz6WE"
1570047268329250819,2022-09-14 13:50:13+00:00,47,10,"What does the future hold for the film industry? For fintech? We asked attendees of this year’s Communacopia + Technology conference to weigh in on these &amp; other key issues in technology, media, and telecoms. 

See full results here: https://t.co/THQC5KIV8M #GSCommunacopiaTech https://t.co/5MyYFa4Cbq"
1569683949496193027,2022-09-13 13:46:31+00:00,20,9,"#GSCommunacopiaTech is live in SF and our teams are discussing tech, media, and telecoms with leading experts. We’ll be asking this question of attendees–but what’s your take?

What is the most promising area for Fintech investors in the next 3 years?"
1569676406103089153,2022-09-13 13:16:33+00:00,14,3,"Delisting risk, regulatory focus and the upcoming China Communist Party's National Congress. Kinger Lau, our chief China equity strategist unpacked the issues on China investors' minds on Bloomberg TV today: https://t.co/9r5cLxplsF https://t.co/5woe2mEW6X"
1569240527610028033,2022-09-12 08:24:31+00:00,31,4,"From 2000-2010, Asian equity markets outperformed developed markets by 90%. But from 2011-2021, the region underperformed by 45%. In an interview with Bloomberg TV, Tim Moe discusses the reasons for this trend, and the outlook for the decade ahead: https://t.co/b1u8QD3fF0 https://t.co/BHoAFOH7Xa"
