id,created_at,favorite_count,retweet_count,text
1579438501409746945,2022-10-10 11:47:37+00:00,1,0,@ruskin147 Have you watched Fawlty Towers recently? Utterly excruciating.
1578416038567636993,2022-10-07 16:04:43+00:00,28,2,"Economist put a huge amount of effort into forecasting payrolls, and then markets get blown away by a number in the same report whose m/m movements are literally unforecastable. Time for a cocktail."
1578408901191532547,2022-10-07 15:36:22+00:00,3,0,"This was fun, but if you’re expecting to hear my finest Swedish you are going to be disappointed; the podcast is in English. https://t.co/dgs9dNs5Wk"
1578395845497683970,2022-10-07 14:44:29+00:00,1,0,@AlexThomas305 @aSheepie @_Paul_de_Souza @acgrayling We'd win one tomorrow so why wait?
1578395209242738688,2022-10-07 14:41:57+00:00,8,0,@TheStalwart I get up for breakfast. You're weird.
1578394443782266886,2022-10-07 14:38:55+00:00,6,1,Uh huh https://t.co/8O4lv1B7bI
1578374008843534336,2022-10-07 13:17:43+00:00,78,8,It's just hilarious that stocks are cratering after a statistically insignificant dip in unemployment and a statistically insignificant increase in the labor force combined to generate statistically insignificant falls in the unemployment rate and participation.
1578360367226331136,2022-10-07 12:23:30+00:00,4,0,"So...
300K
AHE 0.5% - upside risk to 0.3% consensus as calendar quirk drops out from Aug
Un rate 3.7%.
A crapshoot, as always
#NFPGuesses"
1578323043050393600,2022-10-07 09:55:11+00:00,2,0,@Noahpinion You forgot: D) January through April. And E) July/August.
1578066669003591683,2022-10-06 16:56:27+00:00,12,2,"@acgrayling Don't settle for the SM. Farage never deviated from his goal, and neither should rejoiners."
1578038933845598209,2022-10-06 15:06:15+00:00,51,7,Terrifyingly delusional https://t.co/vAa6TMhEKy
1578038599978999811,2022-10-06 15:04:55+00:00,14,2,Saying this does not necessarily make it so. https://t.co/Q05b3u0u3K
1577969669973180417,2022-10-06 10:31:01+00:00,15,4,About to do @bsurveillance with @tomkeene @FerroTV. Happy to talk @nufc and a bit of macro.
1577640611284393989,2022-10-05 12:43:27+00:00,2,0,"@tomkeene @FerroTV In a failing state like Britain, the only humo(u)r is black humo(u)r."
1577640217992904712,2022-10-05 12:41:53+00:00,11,0,"ADP is great for ADP, as a publicity exercise. For everyone else, great time to grab a coffee."
1577639993136259072,2022-10-05 12:41:00+00:00,12,1,"""I want what you want"", says Liz Truss, paraphrasing Stephen Sondheim. Next lines, just for context:
Sorry, my dear
But where are the clowns
Send in the clowns
Don't bother, they're here

Smart man, Sondheim."
1577638514828754946,2022-10-05 12:35:07+00:00,2,0,@carlquintanilla He gives it way too much credit.
1577399277441073152,2022-10-04 20:44:29+00:00,5,0,Yup https://t.co/0gN001K4Vg
1577343080138784776,2022-10-04 17:01:10+00:00,1,0,@conorsen Making up for getting it wrong in 21.
1577308333727535107,2022-10-04 14:43:06+00:00,4,0,Yes yes a gazillion times yes https://t.co/NzjLFUoZki
1577308159001124869,2022-10-04 14:42:24+00:00,0,0,"@steadycraig @KatyKirby_ @anikasneaka Kind of annoying I couldn't make the Newcastle show even though I *live there*, so Brooklyn next weekend will have to do…"
1577299371904868357,2022-10-04 14:07:29+00:00,11,2,"JOLTS
wow
Please stop hiking."
1577025934607417346,2022-10-03 20:00:57+00:00,2,0,"@fcastofthemonth @TheStalwart You're right about the weight, apologies. I agree Oct will see a big flip in the m/m pace. Not an overall core CPI game-changer, but I'll take it."
1577021006837075968,2022-10-03 19:41:22+00:00,0,0,@TheStalwart Fortunately it's only 0.5% of the core.
