id,created_at,favorite_count,retweet_count,text
1579505129078030336,2022-10-10 16:12:23+00:00,3,0,Join us tomorrow at 3:30pm eastern. https://t.co/AQ3QoyRXz1
1579457555348459520,2022-10-10 13:03:20+00:00,84,12,Here's how we teach the Diamond-Dybvig model to first-year undergraduates (from the Stevenson-Wolfers textbook): https://t.co/gsmo5uoCPc
1578931423511465984,2022-10-09 02:12:41+00:00,28,3,“You never see somebody with a mullet that’s grumpy...” https://t.co/qa4xCRMFtQ
1578440945439473664,2022-10-07 17:43:42+00:00,3,0,"@ETommyBS1 a dingo ate my... nope, can't do the full meryl streep"
1578430334999240704,2022-10-07 17:01:32+00:00,138,41,"Hey, I'll be on @CNN in a few minutes talking with the wonderful @AnaCabrera about the jobs report, inflation, gas prices and all things economics. Lemme surprise you by making the point that some of the news is good news. https://t.co/8ebZYQkcVY"
1578380158125359107,2022-10-07 13:42:09+00:00,185,49,"It's clear that the economy is slowing a bit. And there's a lot of uncertainty about our economic future. And that uncertainty means a recession is *possible* (but so is an ongoing BOOM).

""Forecasting"" the present moment is easier, and the data are clear: We're not in recession."
1578379314831282177,2022-10-07 13:38:48+00:00,148,22,"Point is, for all of our pre-pandemic history, the idea that jobs growth as rapid as it currently is would be coupled with ""recession!"" talk would have been thought laughable."
1578378299507724291,2022-10-07 13:34:46+00:00,328,145,"Over the past three months (a time of peak ""recession"" talk!), jobs growth has averaged +372k. For some context, realize that the economy *never* registered 3 months of employment growth this fast in the pre-pandemic 2000s.

Folks seem to have forgotten how rapid these rates are. https://t.co/OqgtAGfP1e"
1578374201412841472,2022-10-07 13:18:29+00:00,144,31,"To put today's job growth context, it's worth noting that over the prior 20 years, payrolls growth has averaged only +92k. This is a much stronger than average rate of employment growth!"
1578371493674688515,2022-10-07 13:07:43+00:00,138,26,A reminder that there are still millions of people on the sidelines of the labor market.  https://t.co/6Jh15MGbaA
1578370960935518208,2022-10-07 13:05:36+00:00,17,2,"@joshtpm @byHeatherLong @swin24 Looks that way to my non-expert eyes, too:
https://t.co/fdHcfO266o"
1578370618764169216,2022-10-07 13:04:14+00:00,162,37,"I'm not a big fan of reporting on the second derivative. A sophisticated reader might get what's going on, but others might miss the reality that:
- Employment is high (above pre-pandemic levels)
- Employment is growing rapidly (far faster than is typical)
https://t.co/d4V8CtrCcN"
1578370096669417472,2022-10-07 13:02:10+00:00,228,64,"Point is, these data don't point to any inflationary pressures coming from the labor market. That doesn't resolve the question of how much is demand versus supply, as demand pressures can play out directly in the product market. But workers aren't the problem."
1578369205493460992,2022-10-07 12:58:37+00:00,207,51,"If you really want to know where the Fed's eyes will be in this report, it's all about hourly earnings.

And lemme tell you about an interesting trend:
- Over 2022 Q3, nominal wages grew at an annualized rate of +4.4%
- 2022 Q2: +4.6%
- 2022 Q1: +4.8%
- 2021 Q4: +6.1%"
1578368338593730560,2022-10-07 12:55:11+00:00,41,8,"@joshtpm @byHeatherLong @swin24 Over the past three months, the labor force has risen +666k. Interpret that as you will."
