id,created_at,favorite_count,retweet_count,text
1579570150164295681,2022-10-10 20:30:45+00:00,8,0,"@choffstein @TomKaz @alphaarchitect @TommiJohnsen @larryswedroe heres one. not quite what you asked for but close in theory

https://t.co/bkf71td6Rg"
1579543984640520200,2022-10-10 18:46:47+00:00,5,0,Rodrigo &amp; Corey are donating the sponsor revenue today to @MalalaFund - learn more about them here: https://t.co/OxAGncv3HE
1579543983390588929,2022-10-10 18:46:46+00:00,2,0,Today's episode is sponsored by @StreamRG - sign up today to access their expert transcript library and get a 14-day free trial https://t.co/p1XZXbC8Pc
1579543982052630528,2022-10-10 18:46:46+00:00,14,4,"Today we have @choffstein &amp; @RodGordilloP with ""Return Stacking: Strategies for Overcoming a Low Return Environment""

https://t.co/cIMbMVRO0e https://t.co/fwhwOx58Yg"
1579543824619429888,2022-10-10 18:46:08+00:00,1,0,"Episode 11

@choffstein &amp; @RodGordilloP with ""Return Stacking: Strategies for Overcoming a Low Return Environment""

https://t.co/cIMbMVRO0e https://t.co/s86D24gmaW"
1579498664304967682,2022-10-10 15:46:41+00:00,16,1,😱😱😱 https://t.co/sNT1YBrH7I
1579497291882582022,2022-10-10 15:41:14+00:00,2,0,"Read the full post and research items from this week https://t.co/lVsbBr9KwH

And subscribe to get this sent to your inbox for free each week: https://t.co/FEqqaA0vv8 https://t.co/vY5Z9615OQ"
1579497290695593984,2022-10-10 15:41:14+00:00,4,0,"Here's mine 👇

📈 Dave Thornton of Vested on bringing index investing to venture capital https://t.co/8Gqh3o9qNd

♠️ The great @AnnieDuke on becoming a better quitter https://t.co/5jeqYojrFw"
1579497289370202114,2022-10-10 15:41:14+00:00,9,2,"🎙️ Top Podcasts of the Week via @TheIdeaFarm

🇺🇸 @kofinas w/ @profgalloway on American optimism https://t.co/PIJcLXHgZo

💾 @JeremyDSchwartz w/ @crmiller1 on the chip war https://t.co/DeqExanjf5

📉 @gnoble79 w/ @hussmanjp on the state of the market https://t.co/vjiuiwcv1K"
1579464412322099200,2022-10-10 13:30:35+00:00,13,0,Investing quote of the day: https://t.co/N6KpaKU7O6
1579442453517848579,2022-10-10 12:03:20+00:00,3,0,"Whats the best investment related piece you read this past week? 

Include a link!"
1578901646754476032,2022-10-09 00:14:21+00:00,4,0,"@BillBrewsterTBB @alphaarchitect @RobinhoodApp Such a strange, strange claim to continually make. Zero upside so why make shit up, triggers me to no end. 

Always wanted to do that bike race in Iowa btw"
1578900925548179456,2022-10-09 00:11:29+00:00,1,0,"@moneywithkatie Here's a few practical ideas....

https://t.co/Gf9ZdpHN4u"
1578900311443283968,2022-10-09 00:09:03+00:00,12,0,"@alphaarchitect I don't understand, @RobinhoodApp has stated many times most of their investors are buy and hold...."
1578760683373531136,2022-10-08 14:54:13+00:00,7,10,"Raffle ends tomorrow. 

Retweet for a chance at that $2,500 seat! https://t.co/DUhxvXl6KP"
1578462714388586497,2022-10-07 19:10:12+00:00,3,0,"You guys listen to any awesome podcast episodes this week?

Include the link below!"
1578453310947794944,2022-10-07 18:32:50+00:00,8,0,"We're hiring for a Product Marketing Specialist in LA office...(and other roles too)....drop us a note &amp; resume!

info@cambriainvestments.com"
1578444668978679808,2022-10-07 17:58:29+00:00,12,2,"The worst stock market days occur when the market is already in a downtrend, but guess what, the best days do too...

https://t.co/NeXNJXwizQ"
1578436701373943814,2022-10-07 17:26:50+00:00,32,0,I think a lot of people would be happy with Meh Faber this year 🤣 https://t.co/FmTC0Brbsh
1578416410249728000,2022-10-07 16:06:12+00:00,34,2,"A great table from my favorite monthly read, the Green Book from @LeutholdGroup ...

potential wealth effect of the bear market....and disinflationary implications... https://t.co/kHeR4uq0fl"
1578412182579994626,2022-10-07 15:49:24+00:00,206,29,"I hear from advisors not too infrequently that ""it's too late for value""....personally I think this regime shift could last for years (and years).... https://t.co/sM11mCMBBK"
1578377248821886978,2022-10-07 13:30:35+00:00,24,3,Investing quote of the day via @morganhousel: https://t.co/UmZ8V2Nd3C
1578098467557191680,2022-10-06 19:02:48+00:00,3,0,"@jimtalksdata Two good podcasts on the topic this week:

@planetmoney and @ChuckJaffe"
1578089014426411009,2022-10-06 18:25:15+00:00,1,0,"@jimtalksdata Not even close! 

Most countries minimum is almost always single digit ....UK was like 7 I believe."
1578014845508767744,2022-10-06 13:30:31+00:00,50,5,Investing quote of the day: https://t.co/XxsYgkwbYG
1577770569587916800,2022-10-05 21:19:52+00:00,8,0,@LynAldenContact https://t.co/e9ws0HDADF
1577746694095007745,2022-10-05 19:44:59+00:00,4,0,"Today's podcast is sponsored by @acretraderinc - check them out at https://t.co/9mkfa0G1yb! 

They have timberland offerings now and properties hitting the platform each week!"
1577746692794814464,2022-10-05 19:44:59+00:00,6,0,"Don't forget to grab her new book!

https://t.co/rIpIj9IUVc"
1577746691658088448,2022-10-05 19:44:59+00:00,4,4,"We're giving away a free seat to the 27th Virtual Poker Tournament and mission to empower students with #DecisionEducation!

Retweet the first tweet or post/tag on Linkedin by Oct 9th noon PT to enter. 

For sponsorship and ticket information, please visit https://t.co/xlxNAkS8pH"
1577746690114605056,2022-10-05 19:44:58+00:00,43,22,"Really fun hanging with the great @AnnieDuke!

❌ Quit &gt; grit
🪦  Benefit of kill criteria
💡 Dangers of tying ideas to our identity
✅ The right way to quit a trade

https://t.co/5jeqYoAuHw https://t.co/tr86BEtWTn"
1577652464391692290,2022-10-05 13:30:33+00:00,26,2,Investing quote of the day: https://t.co/W93WJ3dQFy
1577360160091082752,2022-10-04 18:09:02+00:00,1,0,"@EconomPic @Parth29192 (Un)related, our value strategies are finding a lot of opportunity in EM tech."
1577359883631853568,2022-10-04 18:07:56+00:00,2,0,"@EconomPic @Parth29192 I think you misread tweet 

Current level: 2.28
2020 low: 1.60"
1577359367413735424,2022-10-04 18:05:53+00:00,1,0,"@Parth29192 @EconomPic Google wasn't event founded *this century*

PS thanks!!!"
1577358698212560896,2022-10-04 18:03:14+00:00,1,0,@Parth29192 @EconomPic Good point since these companies didn't exist in 2020 or 2008...
1577351676771545088,2022-10-04 17:35:20+00:00,23,0,EFA and EEM already there. Value stocks like 0.4 lol
1577349750625431552,2022-10-04 17:27:40+00:00,54,9,"If you average the last three bottoms for 1.14, that is -50%...... *from here*. https://t.co/FraKMxqRZ5"
1577315273664712704,2022-10-04 15:10:40+00:00,9,0,This company have a very cool and unique wedge into getting access to VC investments.....clever! https://t.co/QlfEVAIRLM
1577304517494050818,2022-10-04 14:27:56+00:00,1,0,@KurtyD !
1577290080754057219,2022-10-04 13:30:34+00:00,60,11,Investing quote of the day: https://t.co/b2jgX6I4M2
1577071021613613057,2022-10-03 23:00:06+00:00,12,2,"Today's episode is with Dave Thornton of Vested! 

📈 Will index investing come to venture capital?
💰 Helping employees leaving early-stage startups 
👀 The growing interest in secondary markets

https://t.co/8Gqh3o8SXF https://t.co/MHtT4nTa2H"
