id,created_at,favorite_count,retweet_count,text
1579676632956407808,2022-10-11 03:33:52+00:00,1,0,@postervegas You were alive in ‘86?
1579675430680145921,2022-10-11 03:29:06+00:00,1,0,@postervegas You’re a Mets fan? What?
1579663887510556672,2022-10-11 02:43:14+00:00,19,0,It might be because it’s centering my generation as heroes but I’m really liking the Redeem Team documentary.
1579654622205345795,2022-10-11 02:06:25+00:00,574,37,"Birth year of the men’s US Olympics basketball team head coach:

1984: 1940
1988: 1941
1992: 1930
1996: 1937
2000: 1948
2004: 1940
2008: 1947
2012: 1947
2016: 1947
2020: 1949"
1579638393415557121,2022-10-11 01:01:55+00:00,34,1,Good thread here. If we’re seeing demand destruction it’s a combination of pandemic behaviors unwinding and reduced consumer confidence rather than a deterioration in the personal finances of tenants. https://t.co/GSxG1wZU5r
1579631342610157569,2022-10-11 00:33:54+00:00,0,0,@Belk95 No
1579626007036055552,2022-10-11 00:12:42+00:00,162,10,"This shouldn’t need to be said, but if US/European governments had been investing in infrastructure and such in the 2010’s we wouldn’t have had a ZIRP-type interest rate environment to “take advantage of.”"
1579622338630684673,2022-10-10 23:58:08+00:00,1,0,"@amber34owl Yeah, I think a lot of people around our age got a pretty good deal on their homes and have all this extra cash flow and gigantic animatronic witches are fun novelties."
1579589259366830080,2022-10-10 21:46:41+00:00,0,0,@trumwill Is there a good documentary on id software? I’d watch it.
1579582574019899392,2022-10-10 21:20:07+00:00,2,0,@pearkes how are you on long lad skeletons
1579564157463973888,2022-10-10 20:06:56+00:00,24,1,@modestproposal1 It’s early innings but I still like this take: https://t.co/D5HfbInoAz
1579559000550838272,2022-10-10 19:46:27+00:00,7,0,@LJKawa Need to get his daughter a job at a freight or housing company.
1579543951635525633,2022-10-10 18:46:39+00:00,3,0,"@hmeisler Last year was inflatables, this year it’s the 12-foot ones."
1579543606343651328,2022-10-10 18:45:16+00:00,84,8,Fed Funds might be going to 4.5%+ but that hasn’t stopped people from buying 12-foot animatronic $300 witches. https://t.co/7XFhQSQkHN
1579540066158153729,2022-10-10 18:31:12+00:00,8,0,@GAWillStewart Tough for a 23-year old to turn down $90M+ guaranteed.
1579537029037424641,2022-10-10 18:19:08+00:00,2,0,@VegaVandal Only the truly wealthy can have 1990’s Boomer habits.
1579530191885717504,2022-10-10 17:51:58+00:00,0,0,@SMTuffy FCA?
1579528186211487744,2022-10-10 17:44:00+00:00,20,4,In 2018-20 Abrams focused on turnout while Trump did the persuasion work for Democrats. In 2022 Georgia Democrats have struggled to find a message for voters who don’t like Trump but aren’t as motivated to replace Kemp. https://t.co/YhU3kRzu7u
1579514362791763970,2022-10-10 16:49:04+00:00,0,0,"@KevinDepew Wow, crazy."
1579509741533167616,2022-10-10 16:30:42+00:00,3,0,@pearkes @RuthlessGravity I think the housing market works at 5-5.5% rates actually. Won’t see HPA there but I think you’d see flattish prices as incomes rise.
1579508970229637125,2022-10-10 16:27:39+00:00,0,0,@RuthlessGravity I’m glad my Rivian isn’t ready yet because I’d rather not finance that thing right now.
1579508706475388929,2022-10-10 16:26:36+00:00,1,0,@pearkes @RuthlessGravity I don’t have a strong view because I don’t think 7% mortgage rates work or are sustainable but it’s hard to know where they shake out.
1579507465334333443,2022-10-10 16:21:40+00:00,0,0,@RuthlessGravity Can’t think of something similar where most homeowners are like “My monthly mortgage cost is great but there is no way I could/would sell my house right now.”
1579500860861997056,2022-10-10 15:55:25+00:00,5,0,"@emre_mayo Yeah, it seemed like a bad draw in 2008-10 but it worked out eventually."
1579500082306912256,2022-10-10 15:52:19+00:00,4,0,@pearkes You beat the demographic rush.
1579498417566334977,2022-10-10 15:45:43+00:00,482,21,"My real estate genius was being 36 years old with one kid and plans to have another in 2017, buying a house before the pandemic, and then refinancing last summer. Thanks to my parents for having me in 1981 instead of 1989. https://t.co/1J8ehr5vbn"
1579467626660913152,2022-10-10 13:43:21+00:00,25,1,I buy the notion that workers switching jobs often entails them going into more productive work but the immediate/short-term impact is like a form of capital destruction — we’re usually quitting jobs we’re good at and on day one at the new job we’re inexperienced and untrained.
1579439419760992256,2022-10-10 11:51:16+00:00,2,0,@kapoano @opinion There’s less work from home in 2022 than there was in 2020-21.
1579432773496238082,2022-10-10 11:24:52+00:00,28,5,[@opinion] The low/negative labor productivity we’ve gotten this year is in part because the labor market strength of the past year has also been a transitional period of dysfunction: https://t.co/GbcuzHvzSg
1579303556993388544,2022-10-10 02:51:24+00:00,1,0,@Wertwhile Is there some sort of aggregate WP +/- for coaches by season? Seems like that would be a useful metric.
1579300328586944512,2022-10-10 02:38:34+00:00,6,0,"@mihirpshah @petesaunders3 Developers have gotten really good at knowing where the town centers pencil out — they’ll do all the $100k+ median income communities, the question is what happens to the $50-75k income communities."
1579299229859999745,2022-10-10 02:34:13+00:00,0,0,"@petesaunders3 Oh, I don’t think suburbs will fight the town centers, if anything they’ll be seen as salvation against aging and decline."
1579297348647518209,2022-10-10 02:26:44+00:00,0,0,@petesaunders3 Centennial Yards is the big project at the Gulch that finally breaks ground this year. It’ll happen.
1579297009499983872,2022-10-10 02:25:23+00:00,1,0,@petesaunders3 I think it’s going to be a tough decade for urban cores proper — the Millennial bulge is aging into its suburban years and it’s unclear what happens to office buildings/central business districts.
1579296436008931329,2022-10-10 02:23:06+00:00,0,0,@petesaunders3 Downtown will fill in because it didn’t in the 2010’s. That’s about it.
1579294352018669568,2022-10-10 02:14:50+00:00,0,0,@petesaunders3 https://t.co/QhzQPxGrfr
1579293793291235328,2022-10-10 02:12:36+00:00,4,1,@petesaunders3 2010’s style urbanity is out. Suburban town centers are what’s next.
1579292660111933440,2022-10-10 02:08:06+00:00,69,4,Walking through the terminal at Hartsfield-Jackson coming home after traveling is the closest experience you get living in Atlanta to being a New Yorker walking the streets of Manhattan. The familiar comfort of anonymously passing through a crowd.
1579261116043366400,2022-10-10 00:02:45+00:00,0,0,"@amber34owl Yeah, it could be that in the same way it was safer to signal pro-GOP sympathies in these places pre-Trump that’s flipped, even if the voting intentions haven’t changed as much."
1579257644698992641,2022-10-09 23:48:58+00:00,0,0,@amber34owl @SoundOfACrowd @patefortworth @RoomsForRent7 I’m a little surprised — the West U signage looked more Dem than that today.
1579255266209505281,2022-10-09 23:39:31+00:00,7,0,1980’s meme: https://t.co/CpBDy13Vxe
1579255033321119744,2022-10-09 23:38:35+00:00,42,4,"How much of men over 35 having opinions and feelings about random old baseball players — Kevin Mitchell, Andres Gallaraga, Danny Tartabull — was just a lack of internet memes prior to the 2000’s?"
1579253811021230081,2022-10-09 23:33:44+00:00,6,1,@roybahat “Semi-stagnant at an objectively high standing of living level” — what does that count as?
1579253036350078977,2022-10-09 23:30:39+00:00,3,0,@VegaVandal The NFL is better when Philly or a NY team is good and their fans are annoying.
1579248395742773248,2022-10-09 23:12:13+00:00,2,0,"@VegaVandal Washington: first in war and peace, last in the NFC East"
1579218634676674560,2022-10-09 21:13:57+00:00,1,0,@oh_HOLMES I think you answered your own question — he just doesn’t have any other interests.
