id,created_at,favorite_count,retweet_count,text
1579617206232846336,2022-10-10 23:37:44+00:00,127,3,"Wonderful to spend the day at the @LauderInstitute , @Wharton  and @Penn .  Thank you! https://t.co/QU3oLNlvkD"
1579492771945406465,2022-10-10 15:23:17+00:00,513,147,"Now it’s the yield on German government bonds that’s on the move—in reaction to news that the government is more open to joint issuance of European #bonds. Increasingly, and after a long period of suppression by central banks, the so called “bond vigilantes” are more in evident. https://t.co/nj1Aon2Sh2 https://t.co/FUKgvH6mC5"
1579489645536374785,2022-10-10 15:10:51+00:00,309,79,"As feared, the yield on long-dated #UK government #bonds has moved significantly higher again—a reminder to government that the @BankIfEngland’s holding operation cannot substitute for more revisions to what was announced on September 23rd. And it’s not about large spending cuts https://t.co/d7SUkqHWJy"
1579475855205548033,2022-10-10 14:16:03+00:00,442,86,"From the @wsj.
Certainly not the first time the traditional correlation between stocks and government bonds has broken down, thereby robbing portfolio diversification of its risk-mitigating abilities.
It's the first time that the breakdown has inflicted this magnitude of YTD loss https://t.co/oLGBexZBhW"
1579433335046443008,2022-10-10 11:27:06+00:00,186,38,"Good morning. 

Thoughts on why and how yet another market romance with a #Fed “Pivot” ended up breaking investors’ hearts once again. 

https://t.co/Po42f0oMui

#economy #markets @opinion @markets @economics #fed #inflation #econtwitter https://t.co/KeNmnZNwc6"
1579425750650097667,2022-10-10 10:56:57+00:00,175,33,"The @WSJ on what this year’s broad-based #dollar appreciation looks like for certain #currency pairs. 

The chart would be even more striking had it had included more emerging market currencies — one of the issues that will be top of mind at this week’s #IMF Annual Meetings. https://t.co/4cbsy7LCM5"
1579266541883117570,2022-10-10 00:24:19+00:00,124,15,"The link to this morning's conversation on the economy with Major Garrett on Face the Nation.

Thank you Major.

https://t.co/wX3q3azoQ0

#economy CBS #inflation #fed #federalreserve #centralbanks #growth #markets @MajorCBS @FaceTheNation @CBSNews"
1579205445482577920,2022-10-09 20:21:33+00:00,160,2,"MetLife stadium is going crazy…and rightly so.  What an incredible win by our @nyjets
Thank you @JoeSquawk and @woodyjohnson4 for making such a special day possible. And to think @RealJoeNamath, who got me to love the #Jets 53 years ago, was also there!
A truly extraordinary day https://t.co/lTm2cpBLBr"
1579186514420199429,2022-10-09 19:06:19+00:00,806,25,"A special day gets even more so!

Joe Kernen and I got to spend some time with legendary Jets’ quarterback Joe Namath and Jets’ owner Woody Johnson. A huge thanks to both of them for the great honor and pleasure. Great fun!

@nyjets @woodyjohnson4 @RealJoeNamath @JoeSquawk #jets https://t.co/kKQkTgiBG7"
1579174009358651392,2022-10-09 18:16:38+00:00,88,2,TOUCHDOWN NEW YORK JETS!!!!   @nyjets #jets @MiamiDolphins https://t.co/k7qZwk4RU7
1579165475057324032,2022-10-09 17:42:43+00:00,484,15,"Wonderful to be at the Jets game with Joe Kernen.  Thank you Joe!

Come on Jets!  J-E-T-S, jets, jets, JETS!

@nyjets #jets @JoeSquawk @SquawkCNBC @MiamiDolphins https://t.co/GdLOBVDHod"
1579142313376366592,2022-10-09 16:10:41+00:00,104,4,"A big thanks to Major Garrett and colleagues at Face the Nation for the interesting conversation on the economy.  

@FaceTheNation @CBSNews @MajorCBS  #economy #markets #growth #inflation @margbrennan https://t.co/RlNVh7elQj"
1579110343561052160,2022-10-09 14:03:39+00:00,758,139,"From @markets
Being so late in responding, the #Fed already faced the policy challenge of eventually meeting its #inflation target without tipping the #economy into a damaging #recession (one that was totally avoidable). 
Now it also has to balance financial stability concerns. https://t.co/iVNbH7HjxK"
