id,created_at,favorite_count,retweet_count,text
1579668644812173312,2022-10-11 03:02:08+00:00,26,11,Existing home sales volume in U.S. falling faster today in than during the 2008 financial crisis https://t.co/JJPzfD7SjT https://t.co/rXKvx1ICqo
1579628291035889664,2022-10-11 00:21:47+00:00,1,0,"@mgolteez @feelthebyrn1 Yeah, that was extreme."
1579596649344925697,2022-10-10 22:16:03+00:00,2,0,"@feelthebyrn1 Really interesting, and so impressive. Huge blocks."
1579595653935943681,2022-10-10 22:12:06+00:00,2,0,"@feelthebyrn1 I try to keep an eye on my time in zone by week, and then look more closely at Z1/2 time by week, and it's still hard to keep it as high as I want. It's really easy to kid yourself that you're providing enough low intensity training stimulus, when you're not. https://t.co/wVTbsWB8eI"
1579593071846903809,2022-10-10 22:01:50+00:00,2,0,"@feelthebyrn1 Yes, those too. I try to start with the relatively more common stuff, but it can open a box. Because when people don't response to structured training, there is a reason."
1579592562020876288,2022-10-10 21:59:48+00:00,6,0,"@feelthebyrn1 @doctorinigo Yes, very much so. Telling most people they need 7+ hours a week of low intensity work, and then sending them off running daily, is a kind of malpractice."
1579584006265663488,2022-10-10 21:25:49+00:00,5,0,"@cody_a_hill @feelthebyrn1 @doctorinigo Right. As I never tire of reminding me, elites are nothing like you and me. It's insane the difference."
1579582865494659072,2022-10-10 21:21:17+00:00,2,0,"@jonasnolsen Well, anything that includes A1C, really. That's key here wrt training response."
1579580521671450624,2022-10-10 21:11:58+00:00,3,1,Remarkable and deeply troubling. https://t.co/8E0WHpzn5k
1579580203290202112,2022-10-10 21:10:42+00:00,2,1,Super important graphic wrt my earlier note concerning poor training response and metabolic disease. https://t.co/pJ6412jv88
1579578571244605440,2022-10-10 21:04:13+00:00,4,0,"@feelthebyrn1 @doctorinigo Yes, terrirific piece. Sugar-burning, indeed. Most people can't do nearly anough low intensity work to compensate without injury."
1579553328694169601,2022-10-10 19:23:54+00:00,13,0,"Metabolic flexibility is key in endurance training, and T2DM can play havoc with substrates, making it hard to elicit a proper training response."
1579553079200190464,2022-10-10 19:22:55+00:00,32,2,"I say this to people troublingly often, but if you're over 40, been training properly for a while, and not responding well, it's worth getting some bloodwork done. In particular, it's remarkable how many people struggling to get a training effect are borderline T2 diabetic."
1579534946812600320,2022-10-10 18:10:52+00:00,0,0,"@baylawnjay That looks fun. As you say, altitude not too bad, and lots of variation."
1579532485561835520,2022-10-10 18:01:05+00:00,2,0,"@Shack_SI I quite literally wrote toque and then took it out, just so I didn't have to deal with Americans on this."
1579532278673199104,2022-10-10 18:00:16+00:00,5,2,"Current U.S. and southern Canada snow depth vs a year ago. While early season, you can already see the differences, with zero coverage in the west, even at the highest elevations, given continuing drought and heat anomaly. https://t.co/Jv2ZVHEteI"
1579530189192978432,2022-10-10 17:51:58+00:00,1,0,"@andymorgan Thanks. I like really long climbs, for whatever weird reason. I just settle in and go zen."
1579530071429480448,2022-10-10 17:51:29+00:00,1,0,@tchon Oye. People are just broken.
1579527640926810112,2022-10-10 17:41:50+00:00,0,0,"@Jed_Trott yes, and that's a very fair point."
1579527447074476032,2022-10-10 17:41:04+00:00,5,0,"Profile for this one, if anyone's curious. https://t.co/FZzw81u9Ba"
1579526928851402752,2022-10-10 17:39:00+00:00,0,0,"@C4COMPUTATION Ha! If it's a solo run in mountains I bring enough stuff to outfit 2.5 of me for four seasons. If it's a race with aid stations, and run at near half marathon pace, I go very light."
1579526126401376257,2022-10-10 17:35:49+00:00,2,0,"@baylawnjay Yup, definitely start cold. 13 miles and around 2,100 feet of vertical. All below 5,000 feet. Much easier than last one. Will be run fast. https://t.co/khLStsu8Ad"
1579524543231975424,2022-10-10 17:29:31+00:00,13,0,"Start-time temperature will be around 12 C for my trail race this Saturday. In SoCal terms, that almost certainly means there will be people showing up in gloves and beanies, which is always amusing."
1579523925738131456,2022-10-10 17:27:04+00:00,4,0,"I should start a movement like Effective Altruism, but just for people who keep re-reading Nick Lane's books. Ideally in audio."
1579523184927584256,2022-10-10 17:24:08+00:00,3,0,"I think part of my problem with the econ Nobel-like-thing (NLT) is that it can't decide what it is. Is the NLT a prize for ... 
• ... history of science-ish explaining of human systems? 
• ... rigorous models of narrow aspects of economic behavior? 
• ... predictive modeling?"
1579517836342751234,2022-10-10 17:02:52+00:00,9,2,"People making much of the idea that we didn't, until recently, understand the ""impedance mismatch"" between savers and lenders clearly have never read spent much time in finance, or, you know, watched ""It's A Wonderful Life"". That impedance mismatch is only the plot."
1579512581429301248,2022-10-10 16:41:59+00:00,4,1,"Three papers rec'd by @doctorinigo in a conversation:
• Lipid metabolism during endurance exercise https://t.co/dujo5LKm8w
• Lactate Inhibits Lipolysis in Fat Cells  https://t.co/dPUL8Vz6nf
• Chronic Lactate Exposure Decreases Mitochondrial Function https://t.co/VdezMUXCQ0"
1579509465262366726,2022-10-10 16:29:37+00:00,1,0,@ben_mathes @cody_a_hill Gorgeous pics.
1579508884708134912,2022-10-10 16:27:18+00:00,0,0,@Frank_McG Terrific. That's great exercise.
1579473018581286914,2022-10-10 14:04:47+00:00,4,0,"To be more fair, you need to separate ""Bernanke qua Fed chair"" from ""Bernanke qua credit &amp; banking academic"", which more people won't do. This will instead, at best, confuse people."
1579462981523763204,2022-10-10 13:24:54+00:00,20,2,"Swedes, man, with their devilish and dry sense of humor. https://t.co/YVlPuc7EOP"
1579288576155881472,2022-10-10 01:51:52+00:00,2,0,@ClbChrstnsn Makes a huge difference. The checkbox  credential collectors coming out of high school are mostly a waste of space.
1579253603541213186,2022-10-09 23:32:54+00:00,6,2,"""The future for semi-permanent snows in Scotland looks bleak"" https://t.co/k6YjAiBFkF"
1579253125525147649,2022-10-09 23:31:00+00:00,10,0,The economics Nobel that is named like a Nobel but isn't a Nobel but is Nobel adjacent apparently gets announced tomorrow. And parts of Twitter are all atwitter. These are the moments you will tell your grandkids about around the post-apocalyptic glow. Treasure them.
1579252297917337601,2022-10-09 23:27:43+00:00,3,0,"@swartable Repaired one other day on side of street for a stranger. Yes, I'm that nice."
1579234132059881473,2022-10-09 22:15:32+00:00,0,0,"@chitownhawkeye Yeah, you're too charitable. From experience, the entire curriculum could be HOW TO GET RICH WAY FAST books and they'd still do this."
1579233500670361601,2022-10-09 22:13:01+00:00,0,0,"@youflavio Yup, so many bad things going on."
1579231682275659777,2022-10-09 22:05:48+00:00,52,1,"Like I said yesterday, a quality undergraduate education is wasted on undergraduates."
1579231680745050113,2022-10-09 22:05:48+00:00,38,1,"Two students in a Berkeley bookstore yesterday:

Her: Did you like that book? 
Him: Dunno. 
Her: Wasn't it assigned?
Him: Yeah. 
Her: ...
Him: I didn't read it. 
Her: Did you read this one?
Him: No. I don't read books. Just summaries. 
Her: You're in English lit. 
Him: Yeah."
1579209434655428608,2022-10-09 20:37:24+00:00,4,0,"@doctorinigo @hjluks Terrific responses, Inigo. Thanks for that. Really provocative. Have you looked at Nick Lane's new book Transformers, related to this topic?"
1579188270264553473,2022-10-09 19:13:18+00:00,3,1,"Like i keep saying, atmospheric energetics are just way, way out in the tail in sustaining this. https://t.co/GyLPDuxHiX"
1579183335770755074,2022-10-09 18:53:41+00:00,8,0,"@hjluks Your selfies are really something, like you're selfie bombing your own selfie."
1579179900757413889,2022-10-09 18:40:02+00:00,2,0,"@TSindzinski Wonderful place. Fog, trais, and redwoods within a mile of restaurants and cafes. Hard to go wrong."
1579166011902685184,2022-10-09 17:44:51+00:00,18,0,"I've been re-reading Origin of Species lately, and one of the more startling things about it is how much Darwin got right, despite getting things wrong. For example, his Lamarckism in thinking ""disuse and use"" drive the inheritance of acquired characteristics. It's lovely."
1579164337012625408,2022-10-09 17:38:12+00:00,3,0,"It's sort of lovely that people need these things explained, that while Country X is the largest global producer of Tradable Commodity Y, through SOME BLACK SUPPLY DEMAND MAGIC Country X's domestic price isn't the lowest in the world. WTF, man. https://t.co/yXUZhARK8e"
1579162222311325696,2022-10-09 17:29:47+00:00,1,0,"@EghosaO @jstogdill China, that paragon of being politically functional."
1579161773206560769,2022-10-09 17:28:00+00:00,0,0,"@Beuysaunt First, that's a single example. Second, France has less than half the population density of California, lower yet on the coast. Third, France lacks some of the same checks and balances. Fourth, various stretches of TGV were protested furiously."
1579160137037930497,2022-10-09 17:21:30+00:00,1,0,"@jstogdill Exactly, the same principle. A complete inversion."
1579160031765106688,2022-10-09 17:21:05+00:00,3,1,"There is no world in which this kind of project in the most populous state in the US, through the most populous swath of the state, wouldn't be disruptive, fractious, and subject to endless delays. Alleging that ramming it thru makes your politics less dysfunctional is specious."
1579159302195261440,2022-10-09 17:18:11+00:00,10,1,"Adorable that people think this is somehow a green check for Morocco and a black mark for the U.S. As desirable as high-speed rail would be, being able to drive through large and disruptive construction projects is a hallmark of countries lacking democratic checks and balances. https://t.co/ksI5FtlWSI"
1579154489285566464,2022-10-09 16:59:04+00:00,4,0,"Granted, similar situation up and down the California coast, especially in San Diego, where non-indigenous eucalyptus plantations are everywhere, with fire-spotting consequences, and human obliviousness."
1579153756968857601,2022-10-09 16:56:09+00:00,5,0,"Speaking of running in this area, always amazing to me how many people don't realize how completely f-ed up the arboreal ecology is in the Berkeley hills. https://t.co/j0gYDk8jee"
1579150433112625154,2022-10-09 16:42:57+00:00,2,0,"@cody_a_hill Yes, someone else mentioned Wildcat area to me as well. As you say, a great corner of the bay. A rarity to have such easily accessible trails with sold verts and views."
1579150049178976257,2022-10-09 16:41:25+00:00,2,1,"I am profoundly skeptical about this stuff, given the triumph of bioplausibility over clinical studies. But ... ¯\_(ツ)_/¯.

Why MLS, NBA, and NHL Clubs Are Investing In Brain Training https://t.co/HKpFmjHUkF"
1579148807316525056,2022-10-09 16:36:29+00:00,0,0,@dpfishman I've given up on winter. It's dead to me.
1579146161205956608,2022-10-09 16:25:58+00:00,1,0,"@dpfishman Oh, I was just making this up as I went, and trying not to end up in Sacramento. Was a nice fun, with some serious steeps."
1579144773105242113,2022-10-09 16:20:27+00:00,1,0,"@chr1sa The hell with kids, he says unhelpfully."
1579144407554498560,2022-10-09 16:19:00+00:00,3,0,"@DanielleFong @dpfishman @robleathern I was off footpath at one point, and met a nice French woman who was off path and coming out of a driveway, and we had a nice chat about the wonders of Berkeley Hills footpaths."
1579142347849224192,2022-10-09 16:10:49+00:00,2,0,"@chr1sa Were I you, I would have stayed in that spot. Just fyi."
