id,created_at,favorite_count,retweet_count,text
1577335840577044481,2022-10-04 16:32:24+00:00,0,0,"According To Jim Chanos, This Is The Biggest Story No One Is Talking About  https://t.co/zzFwksHZC1"
1576579736515461121,2022-10-02 14:27:55+00:00,3,3,Loeb having a rough year https://t.co/75XZ1LsdhH
1576563218532929539,2022-10-02 13:22:17+00:00,1,0,https://t.co/zzFwksIxrz
1575157149466234880,2022-09-28 16:15:04+00:00,1,0,These Are 10 Asset Management Companies With Over 20% Insider Ownership https://t.co/5kWT83P8D6 #247 #assetmanagementcompanies
1575154463765053443,2022-09-28 16:04:23+00:00,14,7,"Druckenmiller: Repercussions Of Fed Inflation Mistakes Will Be “With Us For A Long, Long Time”  https://t.co/tlJVfohWlj"
1575142307288223744,2022-09-28 15:16:05+00:00,3,0,FlexJobs Identifies 30 Fully Virtual Companies Hiring For Remote Jobs https://t.co/jUIr0RTGcQ #remotejobs
1575127203527868417,2022-09-28 14:16:04+00:00,4,0,The U.S. 10-Year Real Yield Hits Its Highest In Over A Decade https://t.co/AHew0I1vnh #10YearRealYield #Gold
1575111210286321665,2022-09-28 13:12:31+00:00,1,0,"Join the live Webinar now! https://t.co/TixhlxmVRb

Meeting ID: 816 2307 9635
Passcode: 0928"
1575109408421711872,2022-09-28 13:05:21+00:00,0,0,"Webinar has just started

Join here! https://t.co/kk7MFdQMNx"
1575106801992749056,2022-09-28 12:55:00+00:00,0,0,"Our webinar starts now! 

So how should investors approach this environment? How do investors find the best ESG-compliant investments while avoiding those companies trying to mislead their shareholders? 

Wednesday 9/28/2022 at 9AM EST 

https://t.co/Tixhlx4MD3"
1575100604610772993,2022-09-28 12:30:22+00:00,0,0,Starts soon! https://t.co/s9xRWeiiyl
1574942870645387264,2022-09-28 02:03:36+00:00,0,1,"We are hosting an awesome (and free) webinar on ESG investing this Wednesday September 28th at 9AM EST 

We hope to see you all there!
https://t.co/TixhlxmVRb 

More details below 👇👇
https://t.co/KISEPvos3I"
1574856540095655937,2022-09-27 20:20:33+00:00,0,0,Kitsumon launches NFT land sale in partnership with top NFT and Gaming platforms https://t.co/jq2cvIPzgP
1574811254639955969,2022-09-27 17:20:36+00:00,0,0,Something Weird Was Going On As Bitcoin Rallied Despite Dollar’s Strength https://t.co/D9KUMQQpFy #247 #Bitcoin
1574796017807290374,2022-09-27 16:20:03+00:00,0,0,These Are The 10 Biggest Launchpad Cryptocurrencies https://t.co/eUWYi93joC #24 #BSCPAD
1574781051289079808,2022-09-27 15:20:35+00:00,1,0,Comcast Is An Asset Bonanza Priced Cheap https://t.co/sVtfLnLzCQ #Comcast #NASDAQCMCSA
1574765818994659329,2022-09-27 14:20:03+00:00,0,0,Huobi Ventures Invests in Magic Square to Transform the Future of Crypto https://t.co/4oz7RJgfv2
1574494532569542657,2022-09-26 20:22:03+00:00,1,1,Will Synthetic Biology Firm Amyris Post Net Income In 2024? https://t.co/cDOqmgdlWN #Amyris #NASDAQAMRS
1574449358980157440,2022-09-26 17:22:33+00:00,0,0,These Are The Top Holdings Of Mark Massey https://t.co/tXyDTP23Uj #247 #AltarockPartners
