,sp500_mean_label
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,0
432,0
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,1
521,1
